,Atha_Ws_root_GC_Rep1,Atha_Ws_root_GC_Rep2,Atha_Ws_root_GC_Rep3,Atha_Ws_root_FLT_Rep1,Atha_Ws_root_FLT_Rep2,Atha_Ws_root_FLT_Rep3,Atha_Ws_leaf_GC_Rep1,Atha_Ws_leaf_GC_Rep2,Atha_Ws_leaf_GC_Rep3,Atha_Ws_leaf_FLT_Rep1,Atha_Ws_leaf_FLT_Rep2,Atha_Ws_leaf_FLT_Rep3
AT1G01010,754,762,816,195,139,173,777,714,881,143,205,160
AT1G01020,338,285,339,276,269,272,311,307,453,320,261,257
AT1G01030,51,46,55,254,222,172,48,80,66,164,208,126
AT1G01040,2469,2271,2874,2575,1991,2345,2105,2393,2756,1469,1874,1611
AT1G01046,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01050,2684,2546,2942,2587,2064,2137,2773,2654,3546,2051,2266,1956
AT1G01060,1221,1241,1264,18868,11217,6724,1470,1538,1197,5593,8884,7949
AT1G01070,582,647,641,533,501,616,884,820,1055,382,391,338
AT1G01080,343,384,388,3499,3344,3632,402,392,471,3369,3566,3043
AT1G01090,6365,5563,6575,7403,6549,7747,4422,5382,7632,5549,7791,5668
AT1G01100,7283,6909,7332,5645,6349,5642,5699,6485,9997.41,6397,5714,4480
AT1G01110,462,426,523,112,158,152,366,413,699,204,223,134
AT1G01120,3528,3853,3555,2559,2659,3230,2805,3302,3861,1463,1451,1022
AT1G01130,1,2,0,4,4,0,2,1,2,4,0,0
AT1G01140,120,147,132,3688,3259,3587,182,113,260,2029,3270,3060
AT1G01150,12,4,11,9,1,1,4,11,11,9,5,5
AT1G01160,905,875,897,706,672.03,705,861,925,1330,793,816,717
AT1G01170,266,221,266,1317,1662.97,1426,292,382,338,1298,1504,1397
AT1G01180,453,458,388,276,295,312,418,426,525,290,461,463
AT1G01183,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01190,1270,1270,1481,99,140,96,2463,1723,1938,151,116,96
AT1G01200,249,231,296,34,54,27,305,316,413,43,38,25
AT1G01210,730,717,711.18,721.11,664.01,816.63,673,726.04,1034.02,541,470.62,474.01
AT1G01220,1085,1064,1298,1082,949,1131,1067,1197,1538,895,1108,879
AT1G01225,360,337,378,143,143,121,322,360,467,97,144,122
AT1G01230,1213,1174,1302,730,831,900,1192,1199,1666,829,984,796
AT1G01240,603,661,684,216,457,378,744,1035,845,228,468,425
AT1G01250,8,4,12,28,28,15,12,10,4,6,16,6
AT1G01260,1012,912,1065,752,727,676,853,918,1289,474,563,516
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01290,637,668,747,576,545,657,686,749,903,544,616,522
AT1G01300,3832,3953,4128,2870,3548,4045,3938,4455,5117,3298,3088,2141
AT1G01305,0,0,0,0,0,0,2,0,0,0,0,0
AT1G01310,1,5,8,5,0,0,1,5,4,11,1,12
AT1G01320,1628,1503,1918,33104,19688,22627,1435,1763,1925,15479,23203,20631
AT1G01335,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01340,919,943,1014,267,210,242,783,842,1061,202,305,374
AT1G01350,849.87,805.97,950.83,598.83,639.76,637,748,853.88,1262.97,488,546.99,479.7
AT1G01355,2,15,12,16,9,11,10,8,14,10,14,17
AT1G01360,749,770,797,402,395,351,816,956,949,429,473,359
AT1G01370,300,286,261,172,173,165,251,333,426,218,176,124
AT1G01380,72,85,71,16,15,14,85,50,131,25,10,18
AT1G01390,0,0,0,115,73,102,0,1,0,56,102,82
AT1G01400,0,1,0,0,0,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01420,99,107,103,343,332,287,162,129,143,240,266,179
AT1G01430,1098,1110,1169,1684,1802,1850,1129,1165,1542,1351,1847,1486
AT1G01440,598,638,656,672,571,690,564,661,791,569,869,751
AT1G01448,238.66,169.95,302.54,234.52,213.06,239.31,259.18,325.62,354.94,237.67,322.96,299.73
AT1G01450,12.34,9.05,15.46,4.48,26.94,21.69,4.82,7.38,18.06,13.33,13.04,3.27
AT1G01453,150,162,185,2,0,0,218,184,299,0,2,4
AT1G01460,0,0,1,0,2,0,0,0,1,0,1,0
